MINUTOS;Actual-latencia;Rediseño-latencia
0H(S) 0MIN(S);0,25;0,00007
0H(S) 10MIN(S);1;0,00009
0H(S) 20MIN(S);2,1;0,00009
0H(S) 30MIN(S);2,8;0,00009
0H(S) 40MIN(S);3,5;0,00009
0H(S) 50MIN(S);4;0,00009
1H(S) 00MIN(S);4;0,00009
1H(S) 10MIN(S);4,5;0,00009
1H(S) 20MIN(S);5,3;0,00009
1H(S) 30MIN(S);5,5;0,00009
1H(S) 40MIN(S);5,9;0,00009
1H(S) 50MIN(S);6,3;0,00009
2H(S) 00MIN(S);6,5;0,00009
2H(S) 10MIN(S);6,6;0,00009
2H(S) 20MIN(S);7;0,00009
2H(S) 30MIN(S);7,4;0,00009
2H(S) 40MIN(S);7,9;0,00009
2H(S) 50MIN(S);8,1;0,00009
3H(S) 00MIN(S);8,5;0,00009
3H(S) 10MIN(S);8,6;0,00009
3H(S) 20MIN(S);8,8;0,00009
3H(S) 30MIN(S);9,1;0,00009
3H(S) 40MIN(S);9,4;0,00009
3H(S) 50MIN(S);9,6;0,00009
4H(S) 00MIN(S);9,7;0,00009
0H(S) 0MIN(S);0,25;0,00007
0H(S) 10MIN(S);1;0,00009
0H(S) 20MIN(S);2,1;0,00009
0H(S) 30MIN(S);2,8;0,00009
0H(S) 40MIN(S);3,5;0,00009
0H(S) 50MIN(S);4;0,00009
1H(S) 00MIN(S);4;0,00009
1H(S) 10MIN(S);4,5;0,00009
1H(S) 20MIN(S);5,3;0,00009
1H(S) 30MIN(S);5,5;0,00009
1H(S) 40MIN(S);5,9;0,00009
1H(S) 50MIN(S);6,3;0,00009
2H(S) 00MIN(S);6,5;0,00009
2H(S) 10MIN(S);6,6;0,00009
2H(S) 20MIN(S);7;0,00009
2H(S) 30MIN(S);7,4;0,00009
2H(S) 40MIN(S);7,9;0,00009
2H(S) 50MIN(S);8,1;0,00009
3H(S) 00MIN(S);8,5;0,00009
3H(S) 10MIN(S);8,6;0,00009
3H(S) 20MIN(S);8,8;0,00009
3H(S) 30MIN(S);9,1;0,00009
3H(S) 40MIN(S);9,4;0,00009
3H(S) 50MIN(S);9,6;0,00009
4H(S) 00MIN(S);9,7;0,00009
0H(S) 0MIN(S);0,25;0,00007
0H(S) 10MIN(S);1;0,00009
0H(S) 20MIN(S);2,1;0,00009
0H(S) 30MIN(S);2,8;0,00009
0H(S) 40MIN(S);3,5;0,00009
0H(S) 50MIN(S);4;0,00009
1H(S) 00MIN(S);4;0,00009
1H(S) 10MIN(S);4,5;0,00009
1H(S) 20MIN(S);5,3;0,00009
1H(S) 30MIN(S);5,5;0,00009
1H(S) 40MIN(S);5,9;0,00009
1H(S) 50MIN(S);6,3;0,00009
2H(S) 00MIN(S);6,5;0,00009
2H(S) 10MIN(S);6,6;0,00009
2H(S) 20MIN(S);7;0,00009
2H(S) 30MIN(S);7,4;0,00009
2H(S) 40MIN(S);7,9;0,00009
2H(S) 50MIN(S);8,1;0,00009
3H(S) 00MIN(S);8,5;0,00009
3H(S) 10MIN(S);8,6;0,00009
3H(S) 20MIN(S);8,8;0,00009
3H(S) 30MIN(S);9,1;0,00009
3H(S) 40MIN(S);9,4;0,00009
3H(S) 50MIN(S);9,6;0,00009
4H(S) 00MIN(S);9,7;0,00009
0H(S) 0MIN(S);0,25;0,00007
0H(S) 10MIN(S);1;0,00009
0H(S) 20MIN(S);2,1;0,00009
0H(S) 30MIN(S);2,8;0,00009
0H(S) 40MIN(S);3,5;0,00009
0H(S) 50MIN(S);4;0,00009
1H(S) 00MIN(S);4;0,00009
1H(S) 10MIN(S);4,5;0,00009
1H(S) 20MIN(S);5,3;0,00009
1H(S) 30MIN(S);5,5;0,00009
1H(S) 40MIN(S);5,9;0,00009
1H(S) 50MIN(S);6,3;0,00009
2H(S) 00MIN(S);6,5;0,00009
2H(S) 10MIN(S);6,6;0,00009
2H(S) 20MIN(S);7;0,00009
2H(S) 30MIN(S);7,4;0,00009
2H(S) 40MIN(S);7,9;0,00009
2H(S) 50MIN(S);8,1;0,00009
3H(S) 00MIN(S);8,5;0,00009
3H(S) 10MIN(S);8,6;0,00009
3H(S) 20MIN(S);8,8;0,00009
3H(S) 30MIN(S);9,1;0,00009
3H(S) 40MIN(S);9,4;0,00009
3H(S) 50MIN(S);9,6;0,00009
4H(S) 00MIN(S);9,7;0,00009
